mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin
13	12	46	46	0.5		1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	158		articStaccatoAbove									
13	12	93/2	93/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	159		articStaccatoAbove									
13	12	47	47	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	160											
13	12	91/2	91/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	161		articStaccatoBelow									
13	12	46	46	0.5		1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	162		articStaccatoBelow									
13	12	93/2	93/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	163		articStaccatoBelow									
13	12	47	47	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	164											
13	12	45	45	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	165											
13	12	91/2	91/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	166											
13	12	46	46	1.0		1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	167											
13	12	48	48	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	168											
13	12	195/4	195/4	0.25		15/16	15/16	Chord	4/4	3	1	1/16			1/16	1	169											
13	12	45	45	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	170											
13	12	91/2	91/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	171											
13	12	46	46	1.0		1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	172											
13	12	48	48	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	173											
13	12	195/4	195/4	0.25		15/16	15/16	Chord	4/4	4	1	1/16			1/16	1	174											
14	13	103/2	103/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	175											
14	13	207/4	207/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	176											
14	13	52	52	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	177											
14	13	105/2	105/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	178											
14	13	103/2	103/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	179											
14	13	207/4	207/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	180											
14	13	52	52	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	181											
14	13	105/2	105/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	182											
14	13	49	49	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	183									27		
14	13	99/2	99/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	184									27		
14	13	50	50	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	185									27		
14	13	101/2	101/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	186											
14	13	51	51	0.0		1/2	1/2	Dynamic	4/4	3	1	0						other-dynamics										
14	13	51	51	0.0		1/2	1/2	Spanner	4/4	3	1	0																4
14	13	51	51	2.0		1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	187											4
14	13	49	49	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	188									28		
14	13	99/2	99/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	189									28		
14	13	50	50	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	190									28		
14	13	101/2	101/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	191											
14	13	51	51	0.0		1/2	1/2	Dynamic	4/4	4	1	0						other-dynamics										
14	13	51	51	0.0		1/2	1/2	Spanner	4/4	4	1	0																5
14	13	51	51	2.0		1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	192											5
15	14	53	53	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	193											
15	14	111/2	111/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	194											
15	14	223/4	223/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	195											
15	14	56	56	0.5		3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	196											
15	14	113/2	113/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	197											
15	14	53	53	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	198											
15	14	111/2	111/2	0.25		5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	199											
15	14	223/4	223/4	0.25		11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	200											
